local1,vs1,visitante1
A.A. ARGENTINOS JRS.,vs,ARSENAL F.C.
C.A. SAN MARTÍN (S.J.),vs,C. ESTUDIANTES DE L.P.
C.A. BANFIELD,vs,C.A. COLÓN
C.A.TEMPERLEY,vs,C.A. SAN LORENZO DE A.
Fecha: 8,,05.11.17
C.A.TEMPERLEY,vs,C.S. Y D. DEF. Y JUSTICIA
C.A. SAN LORENZO DE A.,vs,C.A. BANFIELD
C.A. COLÓN,vs,C.A. SAN MARTÍN (S.J.)
C. ESTUDIANTES DE L.P.,vs,A.A. ARGENTINOS JRS.
ARSENAL F.C.,vs,C.A. TIGRE
C.A. ROSARIO CTRAL.,vs,C. AT. TUCUMÁN
RACING CLUB,vs,C.A. TALLERES (CBA.)
C.A. RIVER PLATE,vs,C.A. BOCA JRS.
C.A. BELGRANO (CBA.),vs,C.A. INDEPENDIENTE
C.A. PATRONATO (E.R.),vs,C.A. N.O. BOYS
C.A. CHACARITA JRS.,vs,C. DE G. Y ESGRIMA L.P.
C.A. VÉLEZ SARSFIELD,vs,C.A. UNIÓN
C. DEP. GODOY CRUZ A.T.,vs,C.A. HURACÁN
C.A. LANÚS,vs,C. OLIMPO (B. BLANCA)
Fecha: 9,,19.11.17
C.S. Y D. DEF. Y JUSTICIA,vs,C.A. LANÚS
C. OLIMPO (B. BLANCA),vs,C. DEP. GODOY CRUZ A.T.
C.A. HURACÁN,vs,C.A. VÉLEZ SARSFIELD
C.A. UNIÓN,vs,C.A. CHACARITA JRS.
C. DE G. Y ESGRIMA L.P.,vs,C.A. PATRONATO (E.R.)
C.A. N.O. BOYS,vs,C.A. BELGRANO (CBA.)
C.A. INDEPENDIENTE,vs,C.A. RIVER PLATE
C.A. BOCA JRS.,vs,RACING CLUB
C.A. TALLERES (CBA.),vs,C.A. ROSARIO CTRAL.
C. AT. TUCUMÁN,vs,ARSENAL F.C.
C.A. TIGRE,vs,C. ESTUDIANTES DE L.P.
A.A. ARGENTINOS JRS.,vs,C.A. COLÓN
C.A. SAN MARTÍN (S.J.),vs,C.A. SAN LORENZO DE A.
C.A. BANFIELD,vs,C.A.TEMPERLEY
Fecha: 10,,26.11.17
C.A. BANFIELD,vs,C.S. Y D. DEF. Y JUSTICIA
C.A.TEMPERLEY,vs,C.A. SAN MARTÍN (S.J.)
C.A. SAN LORENZO DE A.,vs,A.A. ARGENTINOS JRS.
C.A. COLÓN,vs,C.A. TIGRE
C. ESTUDIANTES DE L.P.,vs,C. AT. TUCUMÁN
ARSENAL F.C.,vs,C.A. TALLERES (CBA.)
C.A. ROSARIO CTRAL.,vs,C.A. BOCA JRS.
RACING CLUB,vs,C.A. INDEPENDIENTE
C.A. RIVER PLATE,vs,C.A. N.O. BOYS
C.A. BELGRANO (CBA.),vs,C. DE G. Y ESGRIMA L.P.
C.A. PATRONATO (E.R.),vs,C.A. UNIÓN
C.A. CHACARITA JRS.,vs,C.A. HURACÁN
C.A. VÉLEZ SARSFIELD,vs,C. OLIMPO (B. BLANCA)
C. DEP. GODOY CRUZ A.T.,vs,C.A. LANÚS
Fecha: 11,,03.12.17
C.S. Y D. DEF. Y JUSTICIA,vs,C. DEP. GODOY CRUZ A.T.
C.A. LANÚS,vs,C.A. VÉLEZ SARSFIELD
C. OLIMPO (B. BLANCA),vs,C.A. CHACARITA JRS.
C.A. HURACÁN,vs,C.A. PATRONATO (E.R.)
C.A. UNIÓN,vs,C.A. BELGRANO (CBA.)
C. DE G. Y ESGRIMA L.P.,vs,C.A. RIVER PLATE
C.A. N.O. BOYS,vs,RACING CLUB
C.A. INDEPENDIENTE,vs,C.A. ROSARIO CTRAL.
C.A. BOCA JRS.,vs,ARSENAL F.C.
C.A. TALLERES (CBA.),vs,C. ESTUDIANTES DE L.P.
C. AT. TUCUMÁN,vs,C.A. COLÓN
C.A. TIGRE,vs,C.A. SAN LORENZO DE A.
A.A. ARGENTINOS JRS.,vs,C.A.TEMPERLEY
C.A. SAN MARTÍN (S.J.),vs,C.A. BANFIELD
Fecha: 12,,10.12.17
C.A. SAN MARTÍN (S.J.),vs,C.S. Y D. DEF. Y JUSTICIA
C.A. BANFIELD,vs,A.A. ARGENTINOS JRS.
C.A.TEMPERLEY,vs,C.A. TIGRE
C.A. SAN LORENZO DE A.,vs,C. AT. TUCUMÁN
C.A. COLÓN,vs,C.A. TALLERES (CBA.)
C. ESTUDIANTES DE L.P.,vs,C.A. BOCA JRS.
ARSENAL F.C.,vs,C.A. INDEPENDIENTE
C.A. ROSARIO CTRAL.,vs,C.A. N.O. BOYS
RACING CLUB,vs,C. DE G. Y ESGRIMA L.P.
C.A. RIVER PLATE,vs,C.A. UNIÓN
C.A. BELGRANO (CBA.),vs,C.A. HURACÁN
C.A. PATRONATO (E.R.),vs,C. OLIMPO (B. BLANCA)
C.A. CHACARITA JRS.,vs,C.A. LANÚS
C.A. VÉLEZ SARSFIELD,vs,C. DEP. GODOY CRUZ A.T.
Fecha: 13,,28.01.18
C.S. Y D. DEF. Y JUSTICIA,vs,C.A. VÉLEZ SARSFIELD
C. DEP. GODOY CRUZ A.T.,vs,C.A. CHACARITA JRS.
C.A. LANÚS,vs,C.A. PATRONATO (E.R.)
C. OLIMPO (B. BLANCA),vs,C.A. BELGRANO (CBA.)
C.A. HURACÁN,vs,C.A. RIVER PLATE
C.A. UNIÓN,vs,RACING CLUB
C. DE G. Y ESGRIMA L.P.,vs,C.A. ROSARIO CTRAL.
C.A. N.O. BOYS,vs,ARSENAL F.C.
C.A. INDEPENDIENTE,vs,C. ESTUDIANTES DE L.P.
C.A. BOCA JRS.,vs,C.A. COLÓN
C.A. TALLERES (CBA.),vs,C.A. SAN LORENZO DE A.
C. AT. TUCUMÁN,vs,C.A.TEMPERLEY
C.A. TIGRE,vs,C.A. BANFIELD
A.A. ARGENTINOS JRS.,vs,C.A. SAN MARTÍN (S.J.)
Fecha: 14,,04.02.18
A.A. ARGENTINOS JRS.,vs,C.S. Y D. DEF. Y JUSTICIA
C.A. SAN MARTÍN (S.J.),vs,C.A. TIGRE
C.A. BANFIELD,vs,C. AT. TUCUMÁN
C.A.TEMPERLEY,vs,C.A. TALLERES (CBA.)
