fecha,vs,modo,puntos adversario 2016-2017,rival fecha anterior
1,C.A. UNIÓN,L,32,
2,C.A. HURACÁN,V,29,C.A. INDEPENDIENTE
3,C. OLIMPO (B. BLANCA),L,38,C.A. INDEPENDIENTE
4,C.A. LANÚS,V,50,C.A. INDEPENDIENTE
5,C. DEP. GODOY CRUZ A.T.,L,43,C.A. INDEPENDIENTE
6,C.A. VÉLEZ SARSFIELD,V,37,C.A. INDEPENDIENTE
7,C.A. CHACARITA JRS.,L,43,C.A. INDEPENDIENTE
8,C.A. PATRONATO (E.R.),V,34,C.A. INDEPENDIENTE
9,C.A. BELGRANO (CBA.),L,26,C.A. INDEPENDIENTE
10,C.A. RIVER PLATE,V,56,C.A. INDEPENDIENTE
11,RACING CLUB,L,55,C.A. INDEPENDIENTE
12,C.A. ROSARIO CTRAL.,V,44,C.A. INDEPENDIENTE
13,ARSENAL F.C.,L,27,C.A. INDEPENDIENTE
14,C. ESTUDIANTES DE L.P.,V,56,C.A. INDEPENDIENTE
15,C.A. COLÓN,L,49,C.A. INDEPENDIENTE
16,C.A. SAN LORENZO DE A.,V,53,C.A. INDEPENDIENTE
17,C.A.TEMPERLEY,L,37,C.A. INDEPENDIENTE
18,C.A. BANFIELD,V,54,C.A. INDEPENDIENTE
19,C.A. SAN MARTÍN (S.J.),L,33,C.A. INDEPENDIENTE
20,A.A. ARGENTINOS JRS.,V,43,C.A. INDEPENDIENTE
21,C.A. TIGRE,L,31,C.A. INDEPENDIENTE
22,C. AT. TUCUMÁN,V,33,C.A. INDEPENDIENTE
23,C.A. TALLERES (CBA.),L,42,C.A. INDEPENDIENTE
24,C.A. BOCA JRS.,V,63,C.A. INDEPENDIENTE
25,C.A. INDEPENDIENTE,L,53,C.S. Y D. DEF. Y JUSTICIA
26,C.S. Y D. DEF. Y JUSTICIA,L,49,C.A. ROSARIO CTRAL.
27,C. DE G. Y ESGRIMA L.P.,V,43,C.A. INDEPENDIENTE
