fecha,vs,modo,puntos adversario 2016-2017,rival fecha anterior
1,C.A. INDEPENDIENTE,V,53,
2,C.A. N.O. BOYS,L,49,C.A. UNIÓN
3,C. DE G. Y ESGRIMA L.P.,V,43,C.A. UNIÓN
4,C.A. UNIÓN,L,32,C.S. Y D. DEF. Y JUSTICIA
5,C.S. Y D. DEF. Y JUSTICIA,V,49,C.A. COLÓN
6,C. OLIMPO (B. BLANCA),V,38,C.A. UNIÓN
7,C.A. LANÚS,L,50,C.A. UNIÓN
8,C. DEP. GODOY CRUZ A.T.,V,43,C.A. UNIÓN
9,C.A. VÉLEZ SARSFIELD,L,37,C.A. UNIÓN
10,C.A. CHACARITA JRS.,V,43,C.A. UNIÓN
11,C.A. PATRONATO (E.R.),L,34,C.A. UNIÓN
12,C.A. BELGRANO (CBA.),V,26,C.A. UNIÓN
13,C.A. RIVER PLATE,L,56,C.A. UNIÓN
14,RACING CLUB,V,55,C.A. UNIÓN
15,C.A. ROSARIO CTRAL.,L,44,C.A. UNIÓN
16,ARSENAL F.C.,V,27,C.A. UNIÓN
17,C. ESTUDIANTES DE L.P.,L,56,C.A. UNIÓN
18,C.A. COLÓN,V,49,C.A. UNIÓN
19,C.A. SAN LORENZO DE A.,L,53,C.A. UNIÓN
20,C.A.TEMPERLEY,V,37,C.A. UNIÓN
21,C.A. BANFIELD,L,54,C.A. UNIÓN
22,C.A. SAN MARTÍN (S.J.),V,33,C.A. UNIÓN
23,A.A. ARGENTINOS JRS.,L,43,C.A. UNIÓN
24,C.A. TIGRE,V,31,C.A. UNIÓN
25,C. AT. TUCUMÁN,L,33,C.A. UNIÓN
26,C.A. TALLERES (CBA.),V,42,C.A. UNIÓN
27,C.A. BOCA JRS.,L,63,C.A. UNIÓN
