fecha,vs,modo,puntos adversario 2016-2017,rival fecha anterior
1,C.A. PATRONATO (E.R.),L,34,
2,C.A. BELGRANO (CBA.),V,26,C.A. BANFIELD
3,C.A. RIVER PLATE,L,56,C.A. BANFIELD
4,RACING CLUB,V,55,C.A. BANFIELD
5,C.A. ROSARIO CTRAL.,L,44,C.A. BANFIELD
6,ARSENAL F.C.,V,27,C.A. BANFIELD
7,C. ESTUDIANTES DE L.P.,L,56,C.A. BANFIELD
8,C.A. COLÓN,V,49,C.A. BANFIELD
9,C.A. SAN LORENZO DE A.,L,53,C.A. BANFIELD
10,C.A.TEMPERLEY,V,37,C.A. BANFIELD
11,C.A. BANFIELD,L,54,C.S. Y D. DEF. Y JUSTICIA
12,C.S. Y D. DEF. Y JUSTICIA,L,49,C. DEP. GODOY CRUZ A.T.
13,A.A. ARGENTINOS JRS.,V,43,C.A. BANFIELD
14,C.A. TIGRE,L,31,C.A. BANFIELD
15,C. AT. TUCUMÁN,V,33,C.A. BANFIELD
16,C.A. TALLERES (CBA.),L,42,C.A. BANFIELD
17,C.A. BOCA JRS.,V,63,C.A. BANFIELD
18,C.A. INDEPENDIENTE,L,53,C.A. BANFIELD
19,C.A. N.O. BOYS,V,49,C.A. BANFIELD
20,C. DE G. Y ESGRIMA L.P.,L,43,C.A. BANFIELD
21,C.A. UNIÓN,V,32,C.A. BANFIELD
22,C.A. HURACÁN,L,29,C.A. BANFIELD
23,C. OLIMPO (B. BLANCA),V,38,C.A. BANFIELD
24,C.A. LANÚS,L,50,C.A. BANFIELD
25,C. DEP. GODOY CRUZ A.T.,V,43,C.A. BANFIELD
26,C.A. VÉLEZ SARSFIELD,L,37,C.A. BANFIELD
27,C.A. CHACARITA JRS.,V,43,C.A. BANFIELD
